Id_kierowcy;Punkty;Id_wyscigu
31;10;1
42;6;1
46;4;1
13;2;1
23;3;1
47;1;1
31;10;2
46;2;2
13;6;2
18;1;2
14;4;2
20;3;2
31;10;3
29;6;3
8;4;3
42;3;3
23;2;3
30;1;3
31;4;4
29;6;4
8;10;4
46;3;4
18;2;4
20;1;4
31;2;5
29;10;5
8;6;5
42;4;5
46;3;5
14;1;5
31;10;6
29;6;6
8;4;6
42;3;6
13;2;6
38;1;6
29;1;7
8;10;7
42;6;7
13;4;7
30;2;7
10;3;7
31;10;8
29;3;8
42;6;8
13;4;8
20;1;8
22;2;8
29;6;9
8;10;9
42;4;9
46;2;9
23;3;9
20;1;9
29;10;10
8;6;10
42;4;10
23;3;10
18;2;10
30;1;10
29;6;11
8;4;11
42;10;11
18;3;11
30;2;11
38;1;11
31;6;12
29;10;12
8;4;12
42;3;12
46;2;12
14;1;12
31;6;13
29;10;13
8;3;13
46;4;13
18;2;13
14;1;13
31;10;14
29;6;14
46;4;14
22;3;14
47;1;14
3;2;14
31;10;15
8;2;15
42;6;15
23;3;15
14;4;15
47;1;15
31;10;16
29;6;16
8;4;16
42;3;16
23;1;16
18;2;16
31;10;17
29;3;17
8;6;17
42;4;17
23;2;17
10;1;17
31;10;18
8;6;18
42;4;18
33;3;18
26;1;18
14;2;18
31;10;19
8;4;19
42;6;19
46;2;19
29;1;19
14;3;19
31;6;20
8;10;20
33;4;20
20;2;20
13;1;20
37;3;20
8;6;21
42;4;21
46;10;21
29;3;21
20;2;21
14;1;21
31;10;22
8;2;22
19;6;22
23;4;22
33;1;22
20;3;22
31;6;23
8;10;23
42;4;23
26;3;23
37;2;23
22;1;23
31;10;24
8;2;24
42;6;24
23;3;24
10;4;24
16;1;24
31;6;25
46;10;25
29;4;25
26;3;25
16;2;25
38;1;25
31;10;26
8;4;26
42;2;26
46;3;26
29;1;26
19;6;26
31;10;27
8;3;27
42;4;27
46;6;27
33;1;27
20;2;27
31;6;28
42;4;28
29;10;28
19;3;28
33;1;28
26;2;28
42;6;29
46;10;29
23;4;29
13;3;29
16;1;29
18;2;29
31;10;30
8;4;30
42;6;30
46;3;30
29;2;30
33;1;30
31;10;31
8;6;31
42;2;31
29;3;31
13;4;31
16;1;31
31;3;32
42;6;32
46;4;32
19;10;32
23;1;32
38;2;32
31;6;33
8;4;33
29;10;33
33;1;33
20;3;33
10;2;33
31;10;34
8;4;34
42;2;34
46;1;34
29;3;34
19;6;34
31;10;35
19;6;35
26;4;35
10;3;35
32;2;35
30;1;35
31;4;36
19;6;36
46;10;36
18;3;36
33;2;36
12;1;36
31;10;37
19;2;37
46;6;37
8;4;37
18;3;37
30;1;37
31;10;38
42;6;38
19;3;38
46;4;38
8;1;38
18;2;38
31;10;39
19;6;39
8;4;39
33;3;39
12;2;39
14;1;39
31;10;40
42;6;40
19;4;40
46;3;40
8;1;40
13;2;40
31;6;41
46;4;41
8;10;41
20;3;41
13;2;41
14;1;41
31;10;42
42;4;42
8;6;42
26;3;42
20;1;42
13;2;42
31;6;43
42;10;43
46;3;43
26;4;43
18;2;43
12;1;43
31;10;44
42;6;44
19;4;44
33;1;44
23;3;44
37;2;44
31;10;45
19;3;45
46;2;45
8;4;45
26;6;45
18;1;45
31;10;46
42;3;46
19;6;46
46;4;46
8;2;46
33;1;46
31;6;47
42;10;47
46;4;47
8;2;47
26;3;47
13;1;47
31;10;48
42;6;48
19;4;48
46;2;48
8;3;48
10;1;48
31;6;49
42;10;49
18;2;49
20;3;49
10;4;49
37;1;49
31;6;50
42;10;50
19;3;50
8;4;50
20;2;50
23;1;50
31;10;51
42;6;51
19;3;51
26;4;51
18;1;51
54;2;51
31;5;52
26;6;52
19;8;52
46;1;52
11;2;52
8;10;52
20;4;52
14;3;52
31;3;53
26;10;53
42;8;53
46;5;53
11;6;53
20;4;53
18;2;53
33;1;53
26;8;54
46;2;54
11;6;54
8;5;54
20;1;54
14;4;54
13;10;54
23;3;54
31;10;55
26;8;55
19;2;55
42;6;55
46;5;55
11;3;55
8;4;55
18;1;55
31;10;56
19;5;56
42;6;56
46;4;56
11;8;56
32;2;56
6;3;56
43;1;56
31;10;57
26;8;57
42;6;57
46;3;57
8;4;57
20;1;57
18;5;57
32;2;57
31;6;58
26;8;58
19;10;58
42;1;58
46;5;58
11;4;58
8;2;58
20;3;58
31;10;59
26;3;59
19;6;59
42;4;59
46;8;59
11;5;59
32;2;59
37;1;59
31;4;60
19;8;60
42;6;60
46;10;60
11;5;60
18;2;60
32;3;60
33;1;60
31;6;61
26;5;61
19;8;61
42;2;61
46;10;61
8;4;61
32;3;61
37;1;61
31;5;62
26;6;62
19;8;62
42;10;62
8;4;62
20;3;62
18;1;62
6;2;62
31;2;63
19;10;63
11;5;63
8;8;63
20;6;63
18;1;63
6;3;63
37;4;63
31;1;64
26;8;64
19;6;64
46;5;64
11;10;64
8;4;64
20;2;64
32;3;64
31;10;65
26;5;65
19;8;65
42;6;65
11;1;65
32;2;65
23;3;65
28;4;65
31;10;66
26;8;66
19;3;66
20;5;66
14;6;66
13;2;66
33;4;66
24;1;66
31;1;67
26;8;67
42;10;67
8;6;67
20;4;67
18;5;67
6;2;67
54;3;67
31;10;68
42;8;68
18;3;68
11;6;68
19;4;68
20;2;68
46;5;68
8;1;68
31;10;69
42;5;69
18;6;69
11;2;69
19;8;69
20;4;69
8;3;69
12;1;69
31;10;70
42;8;70
18;6;70
11;3;70
20;5;70
54;4;70
46;2;70
32;1;70
31;10;71
42;3;71
18;8;71
11;5;71
19;6;71
20;4;71
26;1;71
46;2;71
31;10;72
42;8;72
18;1;72
11;5;72
20;6;72
54;4;72
46;3;72
13;2;72
42;6;73
18;8;73
19;5;73
20;10;73
12;4;73
37;1;73
6;3;73
33;2;73
31;10;74
42;8;74
18;6;74
11;4;74
19;1;74
20;5;74
13;3;74
32;2;74
31;10;75
42;8;75
18;6;75
26;4;75
8;3;75
13;5;75
33;1;75
52;2;75
31;10;76
42;8;76
20;5;76
26;3;76
54;6;76
8;2;76
37;4;76
57;1;76
31;10;77
42;6;77
18;4;77
11;8;77
19;1;77
20;5;77
26;2;77
8;3;77
31;10;78
42;6;78
18;5;78
19;4;78
26;8;78
8;2;78
13;3;78
32;1;78
31;10;79
18;8;79
11;6;79
19;4;79
54;1;79
8;5;79
32;3;79
1;2;79
31;10;80
42;8;80
18;4;80
11;6;80
19;5;80
54;3;80
13;1;80
1;2;80
31;8;81
42;6;81
26;10;81
8;2;81
13;4;81
12;5;81
37;1;81
7;3;81
31;8;82
42;10;82
18;6;82
19;4;82
